package_name,number_of_lines,package_status,stubtest_setting,pyright_setting,annotated_parameters,unannotated_parameters,annotated_returns,unannotated_returns,explicit_Incomplete_parameters,explicit_Incomplete_returns,explicit_Any_parameters,explicit_Any_returns,annotated_variables,explicit_Any_variables,explicit_Incomplete_variables
decorator,71,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,36,0,13,0,0,0,19,6,14,3,0
dj-database-url,27,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,9,0,2,0,0,0,0,0,16,2,0
docopt,12,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,6,0,2,0,0,0,1,1,2,0,0
docutils,606,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,213,60,148,10,0,45,36,6,82,11,0
editdistance,9,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,6,0,3,0,2,1,0,0,1,0,1
emoji,73,OBSOLETE,ERROR_ON_MISSING_STUB,STRICT,21,0,10,0,0,0,0,0,12,0,1
entrypoints,53,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,23,0,12,0,0,0,0,1,12,0,0
first,17,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,8,0,4,0,0,0,2,0,2,0,0
flake8-2020,26,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,1,0,2,0,0,0,0,1,12,0,0
flake8-bugbear,29,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,8,0,5,0,0,2,1,0,8,0,0
flake8-builtins,12,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,3,0,3,0,0,1,0,1,2,0,0
flake8-docstrings,21,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,6,0,5,0,0,1,1,1,6,1,0
flake8-plugin-utils,69,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,30,0,17,0,0,0,6,0,10,0,0
flake8-rst-docstrings,34,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,10,0,5,0,0,0,1,0,12,0,0
flake8-simplify,9,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,1,0,2,0,0,0,0,1,2,0,0
flake8-typing-imports,17,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,4,0,5,0,0,1,1,1,2,0,0
fpdf2,2214,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,567,533,358,204,58,4,10,1,635,14,159
gdb,920,NOT_ON_PYPI,SKIPPED,STRICT,227,0,247,0,0,0,0,0,294,0,0
google-cloud-ndb,1572,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,478,368,234,203,0,0,134,0,191,139,0
hdbcli,145,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,77,0,62,0,6,4,12,7,22,2,2
html5lib,745,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,67,207,100,208,0,0,27,0,220,180,0
httplib2,280,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,46,122,39,25,0,0,37,0,85,57,0
humanfriendly,378,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,79,181,82,95,0,0,22,0,75,54,0
invoke,810,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,245,171,177,73,0,0,28,8,130,70,0
jmespath,181,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,11,122,22,52,0,1,7,1,41,37,0
jsonschema,427,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,108,295,145,31,0,1,26,9,62,23,0
keyboard,292,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,130,0,76,0,0,0,0,0,51,0,0
ldap3,2896,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,533,675,216,423,0,0,294,0,945,439,0
mock,343,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,185,0,82,0,0,0,124,15,52,34,0
mypy-extensions,70,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,28,0,25,0,0,0,1,7,1,0,0
mysqlclient,1245,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,28,128,83,30,0,0,4,51,972,31,0
oauthlib,1481,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,274,541,139,211,0,0,185,0,318,207,0
openpyxl,9721,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,2597,660,744,423,0,0,2218,19,4197,3566,0
opentracing,369,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,105,0,113,0,0,0,22,0,56,4,0
paho-mqtt,528,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,217,0,147,0,0,0,5,4,163,1,0
paramiko,1956,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,748,0,630,0,0,0,25,9,543,21,0
parsimonious,217,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,114,0,60,0,0,0,23,4,36,5,0
passlib,1953,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,382,466,155,329,0,0,174,10,576,105,0
passpy,51,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,43,0,20,0,0,0,0,0,1,0,0
peewee,1778,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,370,704,298,448,244,5,0,0,437,0,368
pep8-naming,31,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,10,0,8,0,0,2,1,1,11,3,0
pika,2384,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,588,413,358,401,168,3,3,0,477,0,265
playsound,5,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,2,0,1,0,0,0,0,0,0,0,0
polib,155,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,61,0,75,0,0,0,18,0,45,0,0
prettytable,305,OBSOLETE,ERROR_ON_MISSING_STUB,NOT_STRICT,18,77,70,56,1,1,2,0,34,6,0
protobuf,4864,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,726,248,482,90,0,0,27,4,755,126,0
psutil,1677,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,117,310,185,358,2,0,26,47,586,206,71
psycopg2,1655,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,171,328,189,169,0,0,56,7,534,168,0
pyOpenSSL,420,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,163,0,198,0,3,2,3,2,120,1,0
pyRFC3339,21,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,15,0,9,0,0,0,1,0,0,0,0
pyaudio,191,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,53,0,38,0,0,0,0,0,90,0,0
pycocotools,196,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,51,0,35,0,0,0,0,1,72,0,1
pycurl,679,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,22,0,32,0,7,10,0,0,625,0,0
pyfarmhash,9,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,13,0,9,0,0,0,0,0,0,0,0
pyflakes,504,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,267,69,210,2,0,0,4,3,102,33,0
pyinstaller,476,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,194,0,116,0,9,0,1,4,103,1,0
pynput,362,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,81,0,71,0,0,0,11,0,155,1,0
pysftp,173,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,109,0,70,0,0,0,0,0,9,0,0
pytest-lazy-fixture,14,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,5,0,5,0,0,0,0,1,1,0,0
python-crontab,293,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,90,43,80,58,18,7,10,1,67,1,32
python-dateutil,472,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,163,64,102,46,0,0,2,0,95,13,0
python-gflags,309,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,186,0,98,0,0,0,39,9,19,2,0
python-jose,399,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,86,39,60,30,0,0,18,12,118,33,0
python-nmap,134,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,44,0,44,0,0,0,0,0,32,0,0
python-slugify,48,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,19,0,3,0,0,0,0,0,12,0,0
python-xlib,5836,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,1335,0,583,0,0,0,15,8,3545,5,0
pytz,151,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,69,0,51,0,2,1,2,0,27,0,1
pyvmomi,221,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,50,0,35,0,3,16,2,0,57,7,0
pywin32,35221,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,3377,3803,3772,2072,388,296,1,1,24951,0,2813
redis,5596,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,3462,1300,1265,657,88,2,318,317,631,235,12
regex,769,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,429,0,114,0,0,0,25,16,73,0,0
requests,1034,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,349,157,111,86,3,0,25,5,139,43,0
retry,29,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,17,0,2,0,0,0,2,0,0,0,0
setuptools,2677,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,821,393,658,262,3,0,73,6,640,401,9
simplejson,59,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,36,0,16,0,0,0,14,4,18,0,0
singledispatch,31,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,16,0,12,0,0,0,7,0,3,1,0
six,365,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,71,0,40,0,0,0,9,6,13,0,0
slumber,90,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,43,0,25,0,0,0,11,5,10,0,0
stdlib,55491,STDLIB,ERROR_ON_MISSING_STUB,STRICT_ON_SOME_FILES,24381,713,13292,405,85,18,2117,817,8493,556,101
stdlib-list,20,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,4,0,4,0,0,0,0,1,4,0,0
